Year,Month,Month_Num,Quarter,State,Vehicle_Type,Sales
2014,January,1,Q1,Assam,Bus,0
2014,January,1,Q1,Assam,Others,0
2014,January,1,Q1,Kerala,2-Wheelers,4
2014,January,1,Q1,Kerala,3-Wheelers,5
2014,January,1,Q1,Kerala,4-Wheelers,0
2014,January,1,Q1,Kerala,Bus,0
2014,January,1,Q1,Kerala,Others,0
2014,January,1,Q1,West Bengal,2-Wheelers,3
2014,January,1,Q1,West Bengal,3-Wheelers,3
2014,January,1,Q1,West Bengal,4-Wheelers,0
2014,January,1,Q1,West Bengal,Bus,0
2014,January,1,Q1,West Bengal,Others,0
2014,January,1,Q1,Madhya Pradesh,2-Wheelers,2
2014,January,1,Q1,Madhya Pradesh,3-Wheelers,2
2014,January,1,Q1,Madhya Pradesh,4-Wheelers,0
2014,January,1,Q1,Madhya Pradesh,Bus,0
2014,January,1,Q1,Madhya Pradesh,Others,0
2014,January,1,Q1,Punjab,2-Wheelers,0
2014,January,1,Q1,Punjab,3-Wheelers,1
2014,January,1,Q1,Punjab,4-Wheelers,0
2014,January,1,Q1,Punjab,Bus,0
2014,January,1,Q1,Punjab,Others,0
2014,February,2,Q1,Andhra Pradesh,2-Wheelers,3
2014,February,2,Q1,Andhra Pradesh,3-Wheelers,4
2014,February,2,Q1,Andhra Pradesh,4-Wheelers,0
2014,February,2,Q1,Andhra Pradesh,Bus,0
2014,February,2,Q1,Andhra Pradesh,Others,0
2014,February,2,Q1,Telangana,2-Wheelers,2
2014,February,2,Q1,Telangana,3-Wheelers,3
2014,February,2,Q1,Telangana,4-Wheelers,0
2014,February,2,Q1,Telangana,Bus,0
2014,February,2,Q1,Telangana,Others,0
2014,February,2,Q1,Uttar Pradesh,2-Wheelers,11
2014,February,2,Q1,Uttar Pradesh,3-Wheelers,13
2014,February,2,Q1,Uttar Pradesh,4-Wheelers,0
2014,February,2,Q1,Uttar Pradesh,Bus,0
2014,February,2,Q1,Uttar Pradesh,Others,0
2014,February,2,Q1,Maharashtra,2-Wheelers,10
2014,February,2,Q1,Maharashtra,3-Wheelers,11
2014,February,2,Q1,Maharashtra,4-Wheelers,0
2014,February,2,Q1,Maharashtra,Bus,0
2014,February,2,Q1,Maharashtra,Others,0
2014,February,2,Q1,Karnataka,2-Wheelers,9
2014,February,2,Q1,Karnataka,3-Wheelers,11
2014,February,2,Q1,Karnataka,4-Wheelers,0
2014,February,2,Q1,Karnataka,Bus,0
2014,February,2,Q1,Karnataka,Others,0
2014,February,2,Q1,Tamil Nadu,2-Wheelers,6
2014,February,2,Q1,Tamil Nadu,3-Wheelers,9
2014,February,2,Q1,Tamil Nadu,4-Wheelers,0
2014,February,2,Q1,Tamil Nadu,Bus,0
2014,February,2,Q1,Tamil Nadu,Others,0
2014,February,2,Q1,Rajasthan,2-Wheelers,5
2014,February,2,Q1,Rajasthan,3-Wheelers,6
2014,February,2,Q1,Rajasthan,4-Wheelers,0
2014,February,2,Q1,Rajasthan,Bus,0
2014,February,2,Q1,Rajasthan,Others,0
2014,February,2,Q1,Gujarat,2-Wheelers,5
2014,February,2,Q1,Gujarat,3-Wheelers,6
2014,February,2,Q1,Gujarat,4-Wheelers,0
2014,February,2,Q1,Gujarat,Bus,0
2014,February,2,Q1,Gujarat,Others,0
2014,February,2,Q1,Delhi,2-Wheelers,4
2014,February,2,Q1,Delhi,3-Wheelers,4
2014,February,2,Q1,Delhi,4-Wheelers,0
2014,February,2,Q1,Delhi,Bus,0
2014,February,2,Q1,Delhi,Others,0
2014,February,2,Q1,Bihar,2-Wheelers,3
2014,February,2,Q1,Bihar,3-Wheelers,4
2014,February,2,Q1,Bihar,4-Wheelers,0
2014,February,2,Q1,Bihar,Bus,0
2014,February,2,Q1,Bihar,Others,0
2014,February,2,Q1,Assam,2-Wheelers,2
2014,February,2,Q1,Assam,3-Wheelers,2
2014,February,2,Q1,Assam,4-Wheelers,0
2014,February,2,Q1,Assam,Bus,0
2014,February,2,Q1,Assam,Others,0
2014,February,2,Q1,Kerala,2-Wheelers,2
2014,February,2,Q1,Kerala,3-Wheelers,3
2014,February,2,Q1,Kerala,4-Wheelers,0
2014,February,2,Q1,Kerala,Bus,0
2014,February,2,Q1,Kerala,Others,0
2014,February,2,Q1,West Bengal,2-Wheelers,2
2014,February,2,Q1,West Bengal,3-Wheelers,2
2014,February,2,Q1,West Bengal,4-Wheelers,0
2014,February,2,Q1,West Bengal,Bus,0
2014,February,2,Q1,West Bengal,Others,0
2014,February,2,Q1,Madhya Pradesh,2-Wheelers,1
2014,February,2,Q1,Madhya Pradesh,3-Wheelers,1
2014,February,2,Q1,Madhya Pradesh,4-Wheelers,0
2014,February,2,Q1,Madhya Pradesh,Bus,0
2014,February,2,Q1,Madhya Pradesh,Others,0
2014,February,2,Q1,Punjab,2-Wheelers,0
2014,February,2,Q1,Punjab,3-Wheelers,0
2014,February,2,Q1,Punjab,4-Wheelers,0
2014,February,2,Q1,Punjab,Bus,0
2014,February,2,Q1,Punjab,Others,0
2014,March,3,Q1,Andhra Pradesh,2-Wheelers,4
2014,March,3,Q1,Andhra Pradesh,3-Wheelers,4
2014,March,3,Q1,Andhra Pradesh,4-Wheelers,0
2014,March,3,Q1,Andhra Pradesh,Bus,0
2014,March,3,Q1,Andhra Pradesh,Others,0
2014,March,3,Q1,Telangana,2-Wheelers,3
2014,March,3,Q1,Telangana,3-Wheelers,4
2014,March,3,Q1,Telangana,4-Wheelers,0
2014,March,3,Q1,Telangana,Bus,0
2014,March,3,Q1,Telangana,Others,0
2014,March,3,Q1,Uttar Pradesh,2-Wheelers,15
2014,March,3,Q1,Uttar Pradesh,3-Wheelers,16
2014,March,3,Q1,Uttar Pradesh,4-Wheelers,1
2014,March,3,Q1,Uttar Pradesh,Bus,0
2014,March,3,Q1,Uttar Pradesh,Others,0
2014,March,3,Q1,Maharashtra,2-Wheelers,13
2014,March,3,Q1,Maharashtra,3-Wheelers,14
2014,March,3,Q1,Maharashtra,4-Wheelers,1
2014,March,3,Q1,Maharashtra,Bus,0
2014,March,3,Q1,Maharashtra,Others,0
2014,March,3,Q1,Karnataka,2-Wheelers,12
2014,March,3,Q1,Karnataka,3-Wheelers,13
2014,March,3,Q1,Karnataka,4-Wheelers,0
2014,March,3,Q1,Karnataka,Bus,0
2014,March,3,Q1,Karnataka,Others,0
2014,March,3,Q1,Tamil Nadu,2-Wheelers,9
2014,March,3,Q1,Tamil Nadu,3-Wheelers,11
2014,March,3,Q1,Tamil Nadu,4-Wheelers,0
2014,March,3,Q1,Tamil Nadu,Bus,0
2014,March,3,Q1,Tamil Nadu,Others,0
2014,March,3,Q1,Rajasthan,2-Wheelers,8
2014,March,3,Q1,Rajasthan,3-Wheelers,9
2014,March,3,Q1,Rajasthan,4-Wheelers,0
2014,March,3,Q1,Rajasthan,Bus,0
2014,March,3,Q1,Rajasthan,Others,0
2014,March,3,Q1,Gujarat,2-Wheelers,8
2014,March,3,Q1,Gujarat,3-Wheelers,8
2014,March,3,Q1,Gujarat,4-Wheelers,0
2014,March,3,Q1,Gujarat,Bus,0
2014,March,3,Q1,Gujarat,Others,0
2014,March,3,Q1,Delhi,2-Wheelers,5
2014,March,3,Q1,Delhi,3-Wheelers,8
2014,March,3,Q1,Delhi,4-Wheelers,0
2014,March,3,Q1,Delhi,Bus,0
2014,March,3,Q1,Delhi,Others,0
2014,March,3,Q1,Bihar,2-Wheelers,4
2014,March,3,Q1,Bihar,3-Wheelers,5
2014,March,3,Q1,Bihar,4-Wheelers,0
2014,March,3,Q1,Bihar,Bus,0
2014,March,3,Q1,Bihar,Others,0
2014,March,3,Q1,Assam,2-Wheelers,3
2014,March,3,Q1,Assam,3-Wheelers,4
2014,March,3,Q1,Assam,4-Wheelers,0
2014,March,3,Q1,Assam,Bus,0
2014,March,3,Q1,Assam,Others,0
2014,March,3,Q1,Kerala,2-Wheelers,3
2014,March,3,Q1,Kerala,3-Wheelers,4
2014,March,3,Q1,Kerala,4-Wheelers,0
2014,March,3,Q1,Kerala,Bus,0
2014,March,3,Q1,Kerala,Others,0
2014,March,3,Q1,West Bengal,2-Wheelers,2
2014,March,3,Q1,West Bengal,3-Wheelers,3
2014,March,3,Q1,West Bengal,4-Wheelers,0
2014,March,3,Q1,West Bengal,Bus,0
2014,March,3,Q1,West Bengal,Others,0
2014,March,3,Q1,Madhya Pradesh,2-Wheelers,1
2014,March,3,Q1,Madhya Pradesh,3-Wheelers,1
2014,March,3,Q1,Madhya Pradesh,4-Wheelers,0
2014,March,3,Q1,Madhya Pradesh,Bus,0
2014,March,3,Q1,Madhya Pradesh,Others,0
2014,March,3,Q1,Punjab,2-Wheelers,0
2014,March,3,Q1,Punjab,3-Wheelers,1
2014,March,3,Q1,Punjab,4-Wheelers,0
2014,March,3,Q1,Punjab,Bus,0
2014,March,3,Q1,Punjab,Others,0
2014,April,4,Q2,Andhra Pradesh,2-Wheelers,3
2014,April,4,Q2,Andhra Pradesh,3-Wheelers,3
2014,April,4,Q2,Andhra Pradesh,4-Wheelers,0
2014,April,4,Q2,Andhra Pradesh,Bus,0
2014,April,4,Q2,Andhra Pradesh,Others,0
2014,April,4,Q2,Telangana,2-Wheelers,2
2014,April,4,Q2,Telangana,3-Wheelers,3
2014,April,4,Q2,Telangana,4-Wheelers,0
2014,April,4,Q2,Telangana,Bus,0
2014,April,4,Q2,Telangana,Others,0
2014,April,4,Q2,Uttar Pradesh,2-Wheelers,11
2014,April,4,Q2,Uttar Pradesh,3-Wheelers,13
2014,April,4,Q2,Uttar Pradesh,4-Wheelers,1
2014,April,4,Q2,Uttar Pradesh,Bus,0
2014,April,4,Q2,Uttar Pradesh,Others,0
2014,April,4,Q2,Maharashtra,2-Wheelers,10
2014,April,4,Q2,Maharashtra,3-Wheelers,11
2014,April,4,Q2,Maharashtra,4-Wheelers,0
2014,April,4,Q2,Maharashtra,Bus,0
2014,April,4,Q2,Maharashtra,Others,0
2014,April,4,Q2,Karnataka,2-Wheelers,9
2014,April,4,Q2,Karnataka,3-Wheelers,10
2014,April,4,Q2,Karnataka,4-Wheelers,0
2014,April,4,Q2,Karnataka,Bus,0
2014,April,4,Q2,Karnataka,Others,0
2014,April,4,Q2,Tamil Nadu,2-Wheelers,8
2014,April,4,Q2,Tamil Nadu,3-Wheelers,8
2014,April,4,Q2,Tamil Nadu,4-Wheelers,0
2014,April,4,Q2,Tamil Nadu,Bus,0
2014,April,4,Q2,Tamil Nadu,Others,0
2014,April,4,Q2,Rajasthan,2-Wheelers,5
2014,April,4,Q2,Rajasthan,3-Wheelers,5
2014,April,4,Q2,Rajasthan,4-Wheelers,0
2014,April,4,Q2,Rajasthan,Bus,0
2014,April,4,Q2,Rajasthan,Others,0
2014,April,4,Q2,Gujarat,2-Wheelers,5
2014,April,4,Q2,Gujarat,3-Wheelers,5
2014,April,4,Q2,Gujarat,4-Wheelers,0
2014,April,4,Q2,Gujarat,Bus,0
2014,April,4,Q2,Gujarat,Others,0
2014,April,4,Q2,Delhi,2-Wheelers,4
2014,April,4,Q2,Delhi,3-Wheelers,4
2014,April,4,Q2,Delhi,4-Wheelers,0
2014,April,4,Q2,Delhi,Bus,0
2014,April,4,Q2,Delhi,Others,0
2014,April,4,Q2,Bihar,2-Wheelers,3
2014,April,4,Q2,Bihar,3-Wheelers,3
2014,April,4,Q2,Bihar,4-Wheelers,0
2014,April,4,Q2,Bihar,Bus,0
2014,April,4,Q2,Bihar,Others,0
2014,April,4,Q2,Assam,2-Wheelers,2
2014,April,4,Q2,Assam,3-Wheelers,3
2014,April,4,Q2,Assam,4-Wheelers,0
2014,April,4,Q2,Assam,Bus,0
2014,April,4,Q2,Assam,Others,0
2014,April,4,Q2,Kerala,2-Wheelers,2
2014,April,4,Q2,Kerala,3-Wheelers,3
2014,April,4,Q2,Kerala,4-Wheelers,0
2014,April,4,Q2,Kerala,Bus,0
2014,April,4,Q2,Kerala,Others,0
2014,April,4,Q2,West Bengal,2-Wheelers,2
2014,April,4,Q2,West Bengal,3-Wheelers,2
2014,April,4,Q2,West Bengal,4-Wheelers,0
2014,April,4,Q2,West Bengal,Bus,0
2014,April,4,Q2,West Bengal,Others,0
2014,April,4,Q2,Madhya Pradesh,2-Wheelers,1
2014,April,4,Q2,Madhya Pradesh,3-Wheelers,1
2014,April,4,Q2,Madhya Pradesh,4-Wheelers,0
2014,April,4,Q2,Madhya Pradesh,Bus,0
2014,April,4,Q2,Madhya Pradesh,Others,0
2014,April,4,Q2,Punjab,2-Wheelers,0
2014,April,4,Q2,Punjab,3-Wheelers,0
2014,April,4,Q2,Punjab,4-Wheelers,0
2014,April,4,Q2,Punjab,Bus,0
2014,April,4,Q2,Punjab,Others,0
2014,May,5,Q2,Andhra Pradesh,2-Wheelers,4
2014,May,5,Q2,Andhra Pradesh,3-Wheelers,4
2014,May,5,Q2,Andhra Pradesh,4-Wheelers,0
2014,May,5,Q2,Andhra Pradesh,Bus,0
2014,May,5,Q2,Andhra Pradesh,Others,0
2014,May,5,Q2,Telangana,2-Wheelers,2
2014,May,5,Q2,Telangana,3-Wheelers,3
2014,May,5,Q2,Telangana,4-Wheelers,0
2014,May,5,Q2,Telangana,Bus,0
2014,May,5,Q2,Telangana,Others,0
2014,May,5,Q2,Uttar Pradesh,2-Wheelers,13
2014,May,5,Q2,Uttar Pradesh,3-Wheelers,16
2014,May,5,Q2,Uttar Pradesh,4-Wheelers,1
2014,May,5,Q2,Uttar Pradesh,Bus,0
2014,May,5,Q2,Uttar Pradesh,Others,0
2014,May,5,Q2,Maharashtra,2-Wheelers,13
2014,May,5,Q2,Maharashtra,3-Wheelers,13
2014,May,5,Q2,Maharashtra,4-Wheelers,0
2014,May,5,Q2,Maharashtra,Bus,0
2014,May,5,Q2,Maharashtra,Others,0
2014,May,5,Q2,Karnataka,2-Wheelers,10
2014,May,5,Q2,Karnataka,3-Wheelers,10
2014,May,5,Q2,Karnataka,4-Wheelers,0
2014,May,5,Q2,Karnataka,Bus,0
2014,May,5,Q2,Karnataka,Others,0
2014,May,5,Q2,Tamil Nadu,2-Wheelers,8
2014,May,5,Q2,Tamil Nadu,3-Wheelers,9
2014,May,5,Q2,Tamil Nadu,4-Wheelers,0
2014,May,5,Q2,Tamil Nadu,Bus,0
2014,May,5,Q2,Tamil Nadu,Others,0
2014,May,5,Q2,Rajasthan,2-Wheelers,6
2014,May,5,Q2,Rajasthan,3-Wheelers,6
2014,May,5,Q2,Rajasthan,4-Wheelers,0
2014,May,5,Q2,Rajasthan,Bus,0
2014,May,5,Q2,Rajasthan,Others,0
2014,May,5,Q2,Gujarat,2-Wheelers,6
2014,May,5,Q2,Gujarat,3-Wheelers,8
2014,May,5,Q2,Gujarat,4-Wheelers,0
2014,May,5,Q2,Gujarat,Bus,0
2014,May,5,Q2,Gujarat,Others,0
2014,May,5,Q2,Delhi,2-Wheelers,5
2014,May,5,Q2,Delhi,3-Wheelers,6
2014,May,5,Q2,Delhi,4-Wheelers,0
2014,May,5,Q2,Delhi,Bus,0
2014,May,5,Q2,Delhi,Others,0
2014,May,5,Q2,Bihar,2-Wheelers,3
2014,May,5,Q2,Bihar,3-Wheelers,4
2014,May,5,Q2,Bihar,4-Wheelers,0
2014,May,5,Q2,Bihar,Bus,0
2014,May,5,Q2,Bihar,Others,0
2014,May,5,Q2,Assam,2-Wheelers,3
2014,May,5,Q2,Assam,3-Wheelers,3
2014,May,5,Q2,Assam,4-Wheelers,0
2014,May,5,Q2,Assam,Bus,0
2014,May,5,Q2,Assam,Others,0
2014,May,5,Q2,Kerala,2-Wheelers,2
2014,May,5,Q2,Kerala,3-Wheelers,3
2014,May,5,Q2,Kerala,4-Wheelers,0
2014,May,5,Q2,Kerala,Bus,0
2014,May,5,Q2,Kerala,Others,0
2014,May,5,Q2,West Bengal,2-Wheelers,2
2014,May,5,Q2,West Bengal,3-Wheelers,2
2014,May,5,Q2,West Bengal,4-Wheelers,0
2014,May,5,Q2,West Bengal,Bus,0
2014,May,5,Q2,West Bengal,Others,0
2014,May,5,Q2,Madhya Pradesh,2-Wheelers,1
2014,May,5,Q2,Madhya Pradesh,3-Wheelers,1
2014,May,5,Q2,Madhya Pradesh,4-Wheelers,0
2014,May,5,Q2,Madhya Pradesh,Bus,0
2014,May,5,Q2,Madhya Pradesh,Others,0
2014,May,5,Q2,Punjab,2-Wheelers,0
2014,May,5,Q2,Punjab,3-Wheelers,0
2014,May,5,Q2,Punjab,4-Wheelers,0
2014,May,5,Q2,Punjab,Bus,0
2014,May,5,Q2,Punjab,Others,0
2014,June,6,Q2,Andhra Pradesh,2-Wheelers,3
2014,June,6,Q2,Andhra Pradesh,3-Wheelers,3
2014,June,6,Q2,Andhra Pradesh,4-Wheelers,0
2014,June,6,Q2,Andhra Pradesh,Bus,0
2014,June,6,Q2,Andhra Pradesh,Others,0
2014,June,6,Q2,Telangana,2-Wheelers,2
2014,June,6,Q2,Telangana,3-Wheelers,2
2014,June,6,Q2,Telangana,4-Wheelers,0
2014,June,6,Q2,Telangana,Bus,0
2014,June,6,Q2,Telangana,Others,0
2014,June,6,Q2,Uttar Pradesh,2-Wheelers,12
2014,June,6,Q2,Uttar Pradesh,3-Wheelers,12
2014,June,6,Q2,Uttar Pradesh,4-Wheelers,0
2014,June,6,Q2,Uttar Pradesh,Bus,0
2014,June,6,Q2,Uttar Pradesh,Others,0
2014,June,6,Q2,Maharashtra,2-Wheelers,10
2014,June,6,Q2,Maharashtra,3-Wheelers,11
2014,June,6,Q2,Maharashtra,4-Wheelers,0
2014,June,6,Q2,Maharashtra,Bus,0
2014,June,6,Q2,Maharashtra,Others,0
2014,June,6,Q2,Karnataka,2-Wheelers,10
2014,June,6,Q2,Karnataka,3-Wheelers,9
2014,June,6,Q2,Karnataka,4-Wheelers,0
2014,June,6,Q2,Karnataka,Bus,0
2014,June,6,Q2,Karnataka,Others,0
2014,June,6,Q2,Tamil Nadu,2-Wheelers,6
2014,June,6,Q2,Tamil Nadu,3-Wheelers,9
2014,June,6,Q2,Tamil Nadu,4-Wheelers,0
2014,June,6,Q2,Tamil Nadu,Bus,0
2014,June,6,Q2,Tamil Nadu,Others,0
2014,June,6,Q2,Rajasthan,2-Wheelers,5
2014,June,6,Q2,Rajasthan,3-Wheelers,6
2014,June,6,Q2,Rajasthan,4-Wheelers,0
2014,June,6,Q2,Rajasthan,Bus,0
2014,June,6,Q2,Rajasthan,Others,0
2014,June,6,Q2,Gujarat,2-Wheelers,5
2014,June,6,Q2,Gujarat,3-Wheelers,5
2014,June,6,Q2,Gujarat,4-Wheelers,0
2014,June,6,Q2,Gujarat,Bus,0
2014,June,6,Q2,Gujarat,Others,0
2014,June,6,Q2,Delhi,2-Wheelers,5
2014,June,6,Q2,Delhi,3-Wheelers,5
2014,June,6,Q2,Delhi,4-Wheelers,0
2014,June,6,Q2,Delhi,Bus,0
2014,June,6,Q2,Delhi,Others,0
2014,June,6,Q2,Bihar,2-Wheelers,3
2014,June,6,Q2,Bihar,3-Wheelers,3
2014,June,6,Q2,Bihar,4-Wheelers,0
2014,June,6,Q2,Bihar,Bus,0
2014,June,6,Q2,Bihar,Others,0
2014,June,6,Q2,Assam,2-Wheelers,2
2014,June,6,Q2,Assam,3-Wheelers,3
2014,June,6,Q2,Assam,4-Wheelers,0
2014,June,6,Q2,Assam,Bus,0
2014,June,6,Q2,Assam,Others,0
2014,June,6,Q2,Kerala,2-Wheelers,2
2014,June,6,Q2,Kerala,3-Wheelers,3
2014,June,6,Q2,Kerala,4-Wheelers,0
2014,June,6,Q2,Kerala,Bus,0
2014,June,6,Q2,Kerala,Others,0
2014,June,6,Q2,West Bengal,2-Wheelers,2
2014,June,6,Q2,West Bengal,3-Wheelers,2
2014,June,6,Q2,West Bengal,4-Wheelers,0
2014,June,6,Q2,West Bengal,Bus,0
2014,June,6,Q2,West Bengal,Others,0
2014,June,6,Q2,Madhya Pradesh,2-Wheelers,1
2014,June,6,Q2,Madhya Pradesh,3-Wheelers,1
2014,June,6,Q2,Madhya Pradesh,4-Wheelers,0
2014,June,6,Q2,Madhya Pradesh,Bus,0
2014,June,6,Q2,Madhya Pradesh,Others,0
2014,June,6,Q2,Punjab,2-Wheelers,0
2014,June,6,Q2,Punjab,3-Wheelers,0
2014,June,6,Q2,Punjab,4-Wheelers,0
2014,June,6,Q2,Punjab,Bus,0
2014,June,6,Q2,Punjab,Others,0
2014,July,7,Q3,Andhra Pradesh,2-Wheelers,4
2014,July,7,Q3,Andhra Pradesh,3-Wheelers,4
2014,July,7,Q3,Andhra Pradesh,4-Wheelers,0
2014,July,7,Q3,Andhra Pradesh,Bus,0
2014,July,7,Q3,Andhra Pradesh,Others,0
2014,July,7,Q3,Telangana,2-Wheelers,3
2014,July,7,Q3,Telangana,3-Wheelers,3
2014,July,7,Q3,Telangana,4-Wheelers,0
2014,July,7,Q3,Telangana,Bus,0
2014,July,7,Q3,Telangana,Others,0
2014,July,7,Q3,Uttar Pradesh,2-Wheelers,14
2014,July,7,Q3,Uttar Pradesh,3-Wheelers,15
2014,July,7,Q3,Uttar Pradesh,4-Wheelers,1
2014,July,7,Q3,Uttar Pradesh,Bus,0
2014,July,7,Q3,Uttar Pradesh,Others,0
2014,July,7,Q3,Maharashtra,2-Wheelers,11
2014,July,7,Q3,Maharashtra,3-Wheelers,13
2014,July,7,Q3,Maharashtra,4-Wheelers,1
2014,July,7,Q3,Maharashtra,Bus,0
2014,July,7,Q3,Maharashtra,Others,0
2014,July,7,Q3,Karnataka,2-Wheelers,11
2014,July,7,Q3,Karnataka,3-Wheelers,12
2014,July,7,Q3,Karnataka,4-Wheelers,0
2014,July,7,Q3,Karnataka,Bus,0
2014,July,7,Q3,Karnataka,Others,0
2014,July,7,Q3,Tamil Nadu,2-Wheelers,9
2014,July,7,Q3,Tamil Nadu,3-Wheelers,10
2014,July,7,Q3,Tamil Nadu,4-Wheelers,0
2014,July,7,Q3,Tamil Nadu,Bus,0
2014,July,7,Q3,Tamil Nadu,Others,0
2014,July,7,Q3,Rajasthan,2-Wheelers,6
2014,July,7,Q3,Rajasthan,3-Wheelers,6
2014,July,7,Q3,Rajasthan,4-Wheelers,0
2014,July,7,Q3,Rajasthan,Bus,0
2014,July,7,Q3,Rajasthan,Others,0
2014,July,7,Q3,Gujarat,2-Wheelers,6
2014,July,7,Q3,Gujarat,3-Wheelers,8
2014,July,7,Q3,Gujarat,4-Wheelers,0
2014,July,7,Q3,Gujarat,Bus,0
2014,July,7,Q3,Gujarat,Others,0
2014,July,7,Q3,Delhi,2-Wheelers,5
2014,July,7,Q3,Delhi,3-Wheelers,5
2014,July,7,Q3,Delhi,4-Wheelers,0
2014,July,7,Q3,Delhi,Bus,0
2014,July,7,Q3,Delhi,Others,0
2014,July,7,Q3,Bihar,2-Wheelers,3
2014,July,7,Q3,Bihar,3-Wheelers,4
2014,July,7,Q3,Bihar,4-Wheelers,0
2014,July,7,Q3,Bihar,Bus,0
2014,July,7,Q3,Bihar,Others,0
2014,July,7,Q3,Assam,2-Wheelers,2
2014,July,7,Q3,Assam,3-Wheelers,3
2014,July,7,Q3,Assam,4-Wheelers,0
2014,July,7,Q3,Assam,Bus,0
2014,July,7,Q3,Assam,Others,0
2014,July,7,Q3,Kerala,2-Wheelers,3
2014,July,7,Q3,Kerala,3-Wheelers,3
2014,July,7,Q3,Kerala,4-Wheelers,0
2014,July,7,Q3,Kerala,Bus,0
2014,July,7,Q3,Kerala,Others,0
2014,July,7,Q3,West Bengal,2-Wheelers,2
2014,July,7,Q3,West Bengal,3-Wheelers,2
2014,July,7,Q3,West Bengal,4-Wheelers,0
2014,July,7,Q3,West Bengal,Bus,0
2014,July,7,Q3,West Bengal,Others,0
2014,July,7,Q3,Madhya Pradesh,2-Wheelers,1
2014,July,7,Q3,Madhya Pradesh,3-Wheelers,1
2014,July,7,Q3,Madhya Pradesh,4-Wheelers,0
2014,July,7,Q3,Madhya Pradesh,Bus,0
2014,July,7,Q3,Madhya Pradesh,Others,0
2014,July,7,Q3,Punjab,2-Wheelers,0
2014,July,7,Q3,Punjab,3-Wheelers,0
2014,July,7,Q3,Punjab,4-Wheelers,0
2014,July,7,Q3,Punjab,Bus,0
2014,July,7,Q3,Punjab,Others,0
2014,August,8,Q3,Andhra Pradesh,2-Wheelers,4
2014,August,8,Q3,Andhra Pradesh,3-Wheelers,5
2014,August,8,Q3,Andhra Pradesh,4-Wheelers,0
2014,August,8,Q3,Andhra Pradesh,Bus,0
2014,August,8,Q3,Andhra Pradesh,Others,0
2014,August,8,Q3,Telangana,2-Wheelers,3
2014,August,8,Q3,Telangana,3-Wheelers,4
2014,August,8,Q3,Telangana,4-Wheelers,0
2014,August,8,Q3,Telangana,Bus,0
2014,August,8,Q3,Telangana,Others,0
2014,August,8,Q3,Uttar Pradesh,2-Wheelers,14
2014,August,8,Q3,Uttar Pradesh,3-Wheelers,17
